logged_utc,date,player,market,side,line,src,open_odds,now_odds,move_pct,verdict,confidence,line_moved,fade_side,fade_price,captures
2026-08-08T09:46:16Z,2026-08-08,Carla Leite,pts,Under,17.5,newunder,1.833,1.833,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Flau'jae Johnson,pts,Under,15.5,newunder,1.833,1.87,2.0,SKIP-drift,WAIT 70%,,Over,1.87,5
2026-08-08T09:46:16Z,2026-08-08,Dominique Malonga,pts,Under,18.5,newunder,1.87,1.87,0.0,BET (steady),NO READ (new line),17.5->18.5,,,1
2026-08-08T09:46:16Z,2026-08-08,Kamilla Cardoso,pra,Over,24.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Courtney Vandersloot,pra,Over,17.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Natasha Cloud,pra,Over,19.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Shakira Austin,pr,Over,26.5,overshoot,1.73,1.73,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Dearica Hamby,pa,Over,15.5,overshoot,1.8,1.8,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Nneka Ogwumike,pts,Over,14.5,overshoot,1.97,1.94,-1.5,BET (money agrees),bet now 81%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Rae Burrell,pa,Over,16.5,overshoot,1.8,1.8,0.0,BET (steady),ok 85%,,,,5
2026-08-08T09:46:16Z,2026-08-08,Dewanna Bonner,pr,Over,17.5,overshoot,1.8,1.8,0.0,BET (steady),ok 85%,,,,4
2026-08-08T09:46:16Z,2026-08-08,Kahleah Copper,pts,Under,20.5,newunder,1.79,1.79,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T10:51:18Z,2026-08-08,Alyssa Thomas,pts,Over,14.5,flip_paper,1.88,1.81,-3.7,BET (money agrees),BET NOW 93%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Veronica Burton,pts,Under,13.5,newunder,1.88,1.88,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Jackie Young,pra,Over,30.5,hotover,2.0,2.0,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Chelsea Gray,pts,Over,12.5,flip_paper,1.87,1.75,-6.4,BET (money agrees),BET NOW 93%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Natasha Howard,pts,Under,11.5,newunder,1.909,1.9,-0.5,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Natasha Cloud,pts,Under,13.5,newunder,1.77,1.73,-2.3,BET (money agrees),bet now 81%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Carla Leite,pts,Under,17.5,newunder,1.833,1.833,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Dominique Malonga,pts,Under,18.5,newunder,1.87,1.87,0.0,BET (steady),ok 85%,17.5->18.5,,,2
2026-08-08T10:51:18Z,2026-08-08,Kamilla Cardoso,pra,Over,24.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Courtney Vandersloot,pra,Over,17.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Natasha Cloud,pra,Over,19.5,cascade,1.75,1.75,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Shakira Austin,pr,Over,26.5,overshoot,1.73,1.73,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Nneka Ogwumike,pts,Over,14.5,overshoot,1.97,1.94,-1.5,BET (money agrees),bet now 81%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Rae Burrell,pa,Over,16.5,overshoot,1.8,1.8,0.0,BET (steady),ok 85%,,,,6
2026-08-08T10:51:18Z,2026-08-08,Dewanna Bonner,pr,Over,17.5,overshoot,1.8,1.8,0.0,BET (steady),ok 85%,,,,5
2026-08-08T10:51:18Z,2026-08-08,Kahleah Copper,pts,Under,20.5,newunder,1.79,1.79,0.0,BET (steady),ok 85%,,,,2
2026-08-08T10:51:18Z,2026-08-08,Kayla McBride,pr,Over,17.5,flip,1.91,1.91,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T10:51:18Z,2026-08-08,Dearica Hamby,pts,Over,12.5,overshoot,1.74,1.74,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T10:51:18Z,2026-08-08,Kelsey Mitchell,pr,Over,26.5,overshoot,1.8,1.8,0.0,BET (steady),NO READ (new line),,,,1
